epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,41674,1.63563,0.85161,0.87335,0.70899,0.57911,0.62416,0.31004,1.66015,0.85569,0.87813,0.002938,0.002938,0.002938
109,42050.3,1.62664,0.85603,0.87357,0.71168,0.5785,0.62513,0.31085,1.65813,0.85374,0.87785,0.002872,0.002872,0.002872
110,42424.7,1.60231,0.83721,0.86934,0.71279,0.57855,0.62559,0.31152,1.65632,0.85206,0.87764,0.002806,0.002806,0.002806
111,42804.5,1.62231,0.8469,0.87227,0.7146,0.57895,0.62711,0.31233,1.65429,0.85049,0.87733,0.00274,0.00274,0.00274
112,43197.6,1.61633,0.84149,0.87087,0.71607,0.57767,0.62781,0.31282,1.65269,0.84863,0.87703,0.002674,0.002674,0.002674
113,43586.8,1.60419,0.83783,0.87105,0.71639,0.57785,0.6283,0.3134,1.6508,0.84693,0.87676,0.002608,0.002608,0.002608
114,43966.5,1.60061,0.83439,0.86766,0.71728,0.57735,0.62893,0.31396,1.64915,0.84518,0.8764,0.002542,0.002542,0.002542
115,44364.8,1.61108,0.84238,0.8693,0.71944,0.57723,0.63017,0.31455,1.64701,0.84327,0.87607,0.002476,0.002476,0.002476
116,44736.8,1.59679,0.82676,0.86886,0.71933,0.5776,0.63065,0.31531,1.64478,0.84173,0.8757,0.00241,0.00241,0.00241
117,45108,1.6099,0.82884,0.87194,0.72134,0.5772,0.63157,0.31607,1.64313,0.83999,0.87532,0.002344,0.002344,0.002344
118,45488.1,1.60331,0.83071,0.86984,0.7198,0.57845,0.63198,0.31656,1.64044,0.83867,0.87493,0.002278,0.002278,0.002278
119,45858.4,1.58731,0.82478,0.86482,0.72078,0.57895,0.63273,0.3172,1.63906,0.83703,0.87465,0.002212,0.002212,0.002212
120,46284.6,1.57086,0.80452,0.86256,0.719,0.5806,0.63378,0.31808,1.63657,0.83537,0.87436,0.002146,0.002146,0.002146
121,46670.2,1.57995,0.8127,0.86806,0.72063,0.57921,0.63401,0.31871,1.6342,0.83362,0.87389,0.00208,0.00208,0.00208
122,47060.5,1.57742,0.81284,0.86016,0.72045,0.58055,0.6353,0.31941,1.63204,0.8324,0.87361,0.002014,0.002014,0.002014
123,47447.5,1.57103,0.80246,0.86516,0.72097,0.58075,0.63622,0.3202,1.6303,0.83077,0.87335,0.001948,0.001948,0.001948
124,47849.6,1.55253,0.79976,0.86158,0.7213,0.58095,0.63665,0.3211,1.62757,0.82865,0.873,0.001882,0.001882,0.001882
125,48254.1,1.55686,0.79607,0.86343,0.72237,0.58095,0.63728,0.32193,1.62527,0.82689,0.87273,0.001816,0.001816,0.001816
126,48644.2,1.54465,0.79531,0.85992,0.7219,0.58263,0.63845,0.32269,1.62287,0.82534,0.87237,0.00175,0.00175,0.00175
127,49102.4,1.53711,0.7871,0.85875,0.72204,0.5838,0.63935,0.32361,1.62032,0.8237,0.87206,0.001684,0.001684,0.001684
128,49514.7,1.53729,0.79451,0.85587,0.72338,0.58344,0.64021,0.32444,1.61805,0.8217,0.87164,0.001618,0.001618,0.001618
129,49884.4,1.53736,0.7832,0.8604,0.72362,0.58355,0.64096,0.32502,1.61541,0.82027,0.87131,0.001552,0.001552,0.001552
130,50253.7,1.51992,0.78173,0.86044,0.72497,0.58374,0.64171,0.32603,1.61299,0.81864,0.87099,0.001486,0.001486,0.001486
131,50621.2,1.5243,0.7733,0.8593,0.72566,0.58415,0.64253,0.32674,1.61102,0.81675,0.87057,0.00142,0.00142,0.00142
132,50988.9,1.52718,0.78472,0.85889,0.72621,0.5839,0.64317,0.3273,1.60964,0.81533,0.87025,0.001354,0.001354,0.001354
133,51354.2,1.51955,0.79057,0.86017,0.72807,0.5839,0.64376,0.32785,1.60675,0.81347,0.86982,0.001288,0.001288,0.001288
134,51718,1.5156,0.77665,0.85449,0.72932,0.5845,0.6449,0.32862,1.60491,0.81174,0.86934,0.001222,0.001222,0.001222
135,52090.7,1.50725,0.77133,0.85112,0.72986,0.58333,0.64547,0.32933,1.60363,0.81026,0.86906,0.001156,0.001156,0.001156
136,52457.8,1.50073,0.75859,0.85258,0.73057,0.5832,0.64597,0.32992,1.60159,0.80853,0.86876,0.00109,0.00109,0.00109
137,52820.5,1.50265,0.76127,0.85493,0.73033,0.58404,0.64694,0.33062,1.59967,0.80694,0.86839,0.001024,0.001024,0.001024
138,53210.8,1.48959,0.75209,0.85661,0.73274,0.58343,0.64777,0.33127,1.59789,0.8052,0.86807,0.000958,0.000958,0.000958
139,53576.5,1.50356,0.75475,0.8517,0.73303,0.5837,0.64862,0.33202,1.59597,0.80372,0.86757,0.000892,0.000892,0.000892
140,53949.8,1.48724,0.75286,0.85394,0.73435,0.5839,0.64977,0.33275,1.59387,0.80227,0.86718,0.000826,0.000826,0.000826
141,54324.7,1.49164,0.75996,0.85756,0.73471,0.5836,0.64972,0.33336,1.59139,0.80049,0.86684,0.00076,0.00076,0.00076
142,54692.2,1.49395,0.75235,0.85743,0.73557,0.58388,0.65063,0.33414,1.58966,0.79876,0.86644,0.000694,0.000694,0.000694
143,55057.3,1.4738,0.75112,0.8565,0.73556,0.5845,0.65128,0.33469,1.5873,0.79648,0.86604,0.000628,0.000628,0.000628
144,55430.7,1.47587,0.74555,0.85463,0.73457,0.5855,0.652,0.33542,1.58589,0.79519,0.8656,0.000562,0.000562,0.000562
145,55798.1,1.46309,0.73687,0.85722,0.73445,0.58592,0.65271,0.33616,1.58456,0.7935,0.86528,0.000496,0.000496,0.000496
146,56177.6,1.45619,0.73842,0.85,0.73589,0.5867,0.65428,0.33697,1.58249,0.79184,0.86489,0.00043,0.00043,0.00043
147,56550.1,1.4597,0.73305,0.85549,0.73545,0.58754,0.65496,0.33747,1.58086,0.78988,0.86456,0.000364,0.000364,0.000364
148,56971.7,1.45029,0.72614,0.85525,0.73443,0.58855,0.65577,0.33831,1.57872,0.78777,0.86417,0.000298,0.000298,0.000298
149,57348.6,1.44311,0.72609,0.84903,0.73544,0.58795,0.65645,0.33914,1.5767,0.78606,0.86374,0.000232,0.000232,0.000232
150,57771,1.41594,0.70988,0.84942,0.73643,0.588,0.65763,0.3399,1.57429,0.78477,0.86335,0.000166,0.000166,0.000166
